contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
Chow.Ford.good.bad	observed	compiled_articles9.txt	0.2216	0.0779	0.0822	-0.0619	-0.0003999999999999976
Chow.Ford.good.bad	boot_1	compiled_articles9.txt	0.2326	-0.0007	0.2473	-0.0147	-0.028699999999999982
Chow.Ford.good.bad	boot_2	compiled_articles9.txt	0.1068	0.0499	-0.0025	-0.0315	0.027900000000000008
Chow.Ford.good.bad	boot_3	compiled_articles9.txt	0.2121	0.0109	0.1545	-0.0235	0.02320000000000002
Chow.Ford.good.bad	boot_4	compiled_articles9.txt	0.4177	0.2001	0.1449	0.0392	0.11190000000000001
Chow.Ford.good.bad	boot_5	compiled_articles9.txt	0.2718	0.1294	0.1	0.0095	0.051899999999999995
Chow.Ford.good.bad	boot_6	compiled_articles9.txt	0.207	0.0378	0.1328	-0.0498	-0.013400000000000009
Chow.Ford.good.bad	boot_7	compiled_articles9.txt	0.1029	-0.0202	0.0172	-0.1068	-0.0009000000000000119
Chow.Ford.good.bad	boot_8	compiled_articles9.txt	-0.0004	0.1876	-0.0179	0.0139	-0.1562
Chow.Ford.good.bad	boot_9	compiled_articles9.txt	0.3202	0.1362	0.1203	-0.0264	0.03729999999999999
Chow.Ford.good.bad	boot_10	compiled_articles9.txt	0.1225	0.0421	0.0388	-0.0988	-0.0572
Chow.Ford.good.bad	boot_11	compiled_articles9.txt	0.0935	0.0313	-0.0752	-0.1098	0.0276
Chow.Ford.good.bad	boot_12	compiled_articles9.txt	0.3756	0.1135	0.1653	0.0185	0.1153
Chow.Ford.good.bad	boot_13	compiled_articles9.txt	0.3466	0.1115	0.127	-0.0894	0.018700000000000036
Chow.Ford.good.bad	boot_14	compiled_articles9.txt	0.212	0.0812	0.0871	-0.038	0.005700000000000004
Chow.Ford.good.bad	boot_15	compiled_articles9.txt	0.3452	0.0834	0.0859	0.01	0.18590000000000004
Chow.Ford.good.bad	boot_16	compiled_articles9.txt	0.627	0.0988	0.4363	0.0304	0.12229999999999998
Chow.Ford.good.bad	boot_17	compiled_articles9.txt	-0.0322	-0.0508	-0.008	-0.0509	-0.024300000000000002
Chow.Ford.good.bad	boot_18	compiled_articles9.txt	0.0628	-0.0394	-0.1124	-0.125	0.08959999999999999
Chow.Ford.good.bad	boot_19	compiled_articles9.txt	0.2121	0.1289	0.0818	0.0699	0.07130000000000003
Chow.Ford.good.bad	boot_20	compiled_articles9.txt	0.0613	0.0124	0.0143	-0.1252	-0.09060000000000001
Chow.Ford.good.bad	boot_21	compiled_articles9.txt	0.2846	0.0158	-0.0418	-0.058	0.25260000000000005
Chow.Ford.good.bad	boot_22	compiled_articles9.txt	0.1474	0.028	-0.0221	-0.0595	0.08200000000000002
Chow.Ford.good.bad	boot_23	compiled_articles9.txt	0.2978	0.1211	0.2868	0.097	-0.013099999999999973
Chow.Ford.good.bad	boot_24	compiled_articles9.txt	0.2489	0.1417	0.1381	0.0465	0.015600000000000017
Chow.Ford.good.bad	boot_25	compiled_articles9.txt	0.0916	-0.001	0.0056	-0.0274	0.05960000000000001
Chow.Ford.good.bad	boot_26	compiled_articles9.txt	0.2644	0.2006	-0.0614	0.0411	0.16630000000000003
Chow.Ford.good.bad	boot_27	compiled_articles9.txt	-0.0285	0.0235	-0.0154	-0.043	-0.0796
Chow.Ford.good.bad	boot_28	compiled_articles9.txt	0.1553	0.0445	0.098	-0.0278	-0.015000000000000006
Chow.Ford.good.bad	boot_29	compiled_articles9.txt	0.1235	0.0117	0.0557	-0.0998	-0.0437
Chow.Ford.good.bad	boot_30	compiled_articles9.txt	0.3807	0.0384	0.1206	-0.1023	0.1194
Chow.Ford.good.bad	boot_31	compiled_articles9.txt	0.0767	-0.0023	-0.1079	-0.1258	0.061100000000000015
Chow.Ford.good.bad	boot_32	compiled_articles9.txt	0.2656	0.0041	0.1217	-0.0616	0.0782
Chow.Ford.good.bad	boot_33	compiled_articles9.txt	0.1191	0.0038	-0.0251	-0.0974	0.043
Chow.Ford.good.bad	boot_34	compiled_articles9.txt	0.5054	0.1027	0.3366	0.0528	0.11889999999999994
Chow.Ford.good.bad	boot_35	compiled_articles9.txt	0.2266	0.104	0.0439	0.0057	0.08439999999999999
Chow.Ford.good.bad	boot_36	compiled_articles9.txt	0.0624	0.1338	-0.0748	-0.0042	-0.0007999999999999995
Chow.Ford.good.bad	boot_37	compiled_articles9.txt	-0.0042	0.0668	-0.0143	0.0444	-0.012299999999999991
Chow.Ford.good.bad	boot_38	compiled_articles9.txt	0.0349	0.098	0.0165	0.0235	-0.056100000000000004
Chow.Ford.good.bad	boot_39	compiled_articles9.txt	0.363	0.0246	0.2508	-0.0137	0.07389999999999995
Chow.Ford.good.bad	boot_40	compiled_articles9.txt	0.327	0.2328	0.1283	0.1145	0.08040000000000001
Chow.Ford.good.bad	boot_41	compiled_articles9.txt	0.4141	0.0697	0.0992	0.0159	0.26110000000000005
Chow.Ford.good.bad	boot_42	compiled_articles9.txt	-0.0109	-0.0514	-0.0699	-0.1132	-0.002799999999999997
Chow.Ford.good.bad	boot_43	compiled_articles9.txt	0.0918	0.0737	0.0884	-0.0126	-0.0829
Chow.Ford.good.bad	boot_44	compiled_articles9.txt	0.2287	0.0383	0.1115	-0.0191	0.059799999999999985
Chow.Ford.good.bad	boot_45	compiled_articles9.txt	-0.0207	0.0329	-0.1007	-0.0119	0.0352
Chow.Ford.good.bad	boot_46	compiled_articles9.txt	0.4305	0.1028	0.0315	0.0062	0.3024
Chow.Ford.good.bad	boot_47	compiled_articles9.txt	0.1459	0.0606	0.042	0.0292	0.0725
Chow.Ford.good.bad	boot_48	compiled_articles9.txt	0.0178	-0.0025	-0.0726	0.0053	0.0982
Chow.Ford.good.bad	boot_49	compiled_articles9.txt	0.2351	0.0596	0.1223	-0.0389	0.014299999999999986
Chow.Ford.good.bad	boot_50	compiled_articles9.txt	0.1638	0.1759	0.0343	-0.0299	-0.07629999999999999
Chow.Ford.good.bad	boot_51	compiled_articles9.txt	0.0458	0.0286	-0.0064	-0.0113	0.0123
Chow.Ford.good.bad	boot_52	compiled_articles9.txt	0.0975	-0.0148	-0.0106	-0.0243	0.09860000000000001
Chow.Ford.good.bad	boot_53	compiled_articles9.txt	0.5086	-0.009	0.2725	-0.0474	0.19770000000000004
Chow.Ford.good.bad	boot_54	compiled_articles9.txt	-0.0321	0.028	0.0378	-0.025	-0.12290000000000001
Chow.Ford.good.bad	boot_55	compiled_articles9.txt	0.28	0.0484	0.1541	0.0672	0.14470000000000005
Chow.Ford.good.bad	boot_56	compiled_articles9.txt	0.3253	0.0661	0.1831	0.0286	0.10469999999999997
Chow.Ford.good.bad	boot_57	compiled_articles9.txt	0.3014	0.0757	-0.0306	-0.0952	0.16110000000000002
Chow.Ford.good.bad	boot_58	compiled_articles9.txt	0.032	-0.0017	-0.0094	-0.0216	0.0215
Chow.Ford.good.bad	boot_59	compiled_articles9.txt	-0.025	0.0821	0.0022	0.0046	-0.10469999999999999
Chow.Ford.good.bad	boot_60	compiled_articles9.txt	0.0034	0.0074	-0.0731	-0.0697	-0.0006000000000000033
Chow.Ford.good.bad	boot_61	compiled_articles9.txt	0.1703	0.0471	0.0564	-0.045	0.0218
Chow.Ford.good.bad	boot_62	compiled_articles9.txt	0.0998	0.0749	0.087	-0.0232	-0.08529999999999999
Chow.Ford.good.bad	boot_63	compiled_articles9.txt	0.2406	0.0236	0.13	0.0047	0.09169999999999999
Chow.Ford.good.bad	boot_64	compiled_articles9.txt	0.1576	0.0788	0.0268	-0.0272	0.024799999999999992
Chow.Ford.good.bad	boot_65	compiled_articles9.txt	0.0664	0.0596	0.0343	-0.0175	-0.045
Chow.Ford.good.bad	boot_66	compiled_articles9.txt	0.106	0.0463	0.056	0.0552	0.058899999999999994
Chow.Ford.good.bad	boot_67	compiled_articles9.txt	0.0229	-0.0301	-0.0549	-0.1274	-0.019500000000000017
Chow.Ford.good.bad	boot_68	compiled_articles9.txt	0.1207	0.0367	0.0429	-0.0639	-0.022800000000000008
Chow.Ford.good.bad	boot_69	compiled_articles9.txt	0.3469	0.0448	0.1489	-0.0226	0.13059999999999997
Chow.Ford.good.bad	boot_70	compiled_articles9.txt	-0.0078	0.05	0.0262	0.0326	-0.05140000000000001
Chow.Ford.good.bad	boot_71	compiled_articles9.txt	0.0601	0.041	0.0615	-0.0009	-0.0433
Chow.Ford.good.bad	boot_72	compiled_articles9.txt	0.2012	0.0178	0.1208	-0.0694	-0.006800000000000028
