contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
terrorist.america.good.bad	observed	master_doc14.txt	0.0761	0.2492	0.0969	0.1348	-0.13520000000000001
terrorist.america.good.bad	boot_1	master_doc14.txt	0.0847	0.2575	0.1463	0.2125	-0.10660000000000006
terrorist.america.good.bad	boot_2	master_doc14.txt	-0.0669	0.0448	0.0139	0.0147	-0.11089999999999998
terrorist.america.good.bad	boot_3	master_doc14.txt	0.098	0.3116	0.1059	0.2668	-0.052700000000000025
terrorist.america.good.bad	boot_4	master_doc14.txt	-0.0363	0.1761	0.0086	0.0827	-0.1383
terrorist.america.good.bad	boot_5	master_doc14.txt	-0.0217	0.0498	-0.0738	-0.045	-0.04269999999999999
terrorist.america.good.bad	boot_6	master_doc14.txt	0.0725	0.1981	0.1048	0.1304	-0.1
terrorist.america.good.bad	boot_7	master_doc14.txt	0.0216	0.1068	0.0426	0.0806	-0.04719999999999999
terrorist.america.good.bad	boot_8	master_doc14.txt	0.0789	0.391	0.05	0.0535	-0.30860000000000004
terrorist.america.good.bad	boot_9	master_doc14.txt	0.093	0.2111	0.1418	0.1513	-0.10860000000000003
terrorist.america.good.bad	boot_10	master_doc14.txt	0.1451	0.0683	0.0101	0.0014	0.06810000000000001
terrorist.america.good.bad	boot_11	master_doc14.txt	-0.0825	0.1749	-0.0074	0.0495	-0.2005
terrorist.america.good.bad	boot_12	master_doc14.txt	0.1557	0.092	0.1193	0.0167	-0.0389
terrorist.america.good.bad	boot_13	master_doc14.txt	0.0405	0.2053	0.0235	0.1336	-0.0547
terrorist.america.good.bad	boot_14	master_doc14.txt	-0.0231	-0.0001	-0.0562	-0.0146	0.0186
terrorist.america.good.bad	boot_15	master_doc14.txt	-0.0011	0.2293	0.067	0.093	-0.2044
terrorist.america.good.bad	boot_16	master_doc14.txt	0.041	0.1778	0.068	0.0546	-0.1502
terrorist.america.good.bad	boot_17	master_doc14.txt	0.0544	0.4198	0.0578	0.1271	-0.29610000000000003
terrorist.america.good.bad	boot_18	master_doc14.txt	0.237	0.3488	0.123	0.2439	0.009099999999999997
terrorist.america.good.bad	boot_19	master_doc14.txt	0.1046	0.3243	0.0652	0.0999	-0.185
terrorist.america.good.bad	boot_20	master_doc14.txt	0.4561	0.446	0.1721	0.1775	0.015499999999999986
terrorist.america.good.bad	boot_21	master_doc14.txt	0.0134	0.2384	0.0623	0.047	-0.2403
terrorist.america.good.bad	boot_22	master_doc14.txt	0.0059	0.0412	0.1791	0.0746	-0.1398
terrorist.america.good.bad	boot_23	master_doc14.txt	0.0438	0.2381	0.08	0.1415	-0.1328
terrorist.america.good.bad	boot_24	master_doc14.txt	-0.0135	0.3813	0.1246	0.1137	-0.40569999999999995
terrorist.america.good.bad	boot_25	master_doc14.txt	0.0069	0.2831	0.0482	0.1234	-0.201
terrorist.america.good.bad	boot_26	master_doc14.txt	0.1672	0.258	0.076	0.1125	-0.0543
terrorist.america.good.bad	boot_27	master_doc14.txt	-0.0314	0.0951	0.0316	0.0726	-0.08550000000000002
terrorist.america.good.bad	boot_28	master_doc14.txt	0.0718	0.2758	-0.02	0.1	-0.08399999999999999
terrorist.america.good.bad	boot_29	master_doc14.txt	0.2136	0.0654	0.1161	0.0079	0.04000000000000001
terrorist.america.good.bad	boot_30	master_doc14.txt	-0.0311	-0.0343	0.0194	-0.0421	-0.058300000000000005
terrorist.america.good.bad	boot_31	master_doc14.txt	0.0613	0.1264	0.0669	0.0863	-0.045700000000000005
terrorist.america.good.bad	boot_32	master_doc14.txt	0.2139	0.3941	0.1411	0.193	-0.12830000000000003
terrorist.america.good.bad	boot_33	master_doc14.txt	-0.0593	0.1684	-0.0004	0.0099	-0.21739999999999998
terrorist.america.good.bad	boot_34	master_doc14.txt	0.1664	0.3628	0.0029	0.1469	-0.05240000000000003
terrorist.america.good.bad	boot_35	master_doc14.txt	0.1619	0.3043	0.1102	0.1888	-0.06380000000000005
terrorist.america.good.bad	boot_36	master_doc14.txt	0.0635	0.1936	0.0238	0.1108	-0.043099999999999986
terrorist.america.good.bad	boot_37	master_doc14.txt	0.1734	0.2072	0.1647	0.0641	-0.13440000000000002
terrorist.america.good.bad	boot_38	master_doc14.txt	0.011	0.1583	0.0593	0.091	-0.11559999999999998
terrorist.america.good.bad	boot_39	master_doc14.txt	0.0763	0.0422	0.0248	0.037	0.04630000000000001
terrorist.america.good.bad	boot_40	master_doc14.txt	0.1738	0.0439	-0.0189	-0.0514	0.09740000000000001
terrorist.america.good.bad	boot_41	master_doc14.txt	0.0245	0.4151	0.0819	-0.012	-0.48450000000000004
terrorist.america.good.bad	boot_42	master_doc14.txt	0.0711	0.1896	0.0037	-0.0075	-0.12969999999999998
terrorist.america.good.bad	boot_43	master_doc14.txt	0.0642	0.1235	0.044	0.0846	-0.01870000000000001
terrorist.america.good.bad	boot_44	master_doc14.txt	0.0288	0.0348	0.0082	0.0985	0.0843
terrorist.america.good.bad	boot_45	master_doc14.txt	-0.0301	0.2425	-0.0014	0.0741	-0.1971
terrorist.america.good.bad	boot_46	master_doc14.txt	0.0532	0.3576	0.0884	0.1264	-0.2664
terrorist.america.good.bad	boot_47	master_doc14.txt	0.0563	0.2396	0.082	0.0499	-0.21540000000000004
terrorist.america.good.bad	boot_48	master_doc14.txt	0.0901	0.3626	-0.0536	0.0103	-0.20859999999999995
terrorist.america.good.bad	boot_49	master_doc14.txt	0.1742	0.3005	0.092	0.1841	-0.03419999999999998
terrorist.america.good.bad	boot_50	master_doc14.txt	0.1411	0.2319	0.1355	0.0551	-0.1712
terrorist.america.good.bad	boot_51	master_doc14.txt	0.1211	0.3115	-0.0189	0.0362	-0.1353
terrorist.america.good.bad	boot_52	master_doc14.txt	0.1242	0.1951	0.0515	0.0497	-0.07269999999999999
terrorist.america.good.bad	boot_53	master_doc14.txt	0.1171	0.2513	0.0147	0.0369	-0.11200000000000003
terrorist.america.good.bad	boot_54	master_doc14.txt	0.2167	0.3268	0.1145	0.2031	-0.021499999999999964
terrorist.america.good.bad	boot_55	master_doc14.txt	0.1198	0.0403	0.054	0.0085	0.034
terrorist.america.good.bad	boot_56	master_doc14.txt	0.0424	0.2465	0.0135	0.0431	-0.17450000000000002
terrorist.america.good.bad	boot_57	master_doc14.txt	0.1142	0.2262	0.0319	0.0939	-0.05000000000000003
terrorist.america.good.bad	boot_58	master_doc14.txt	0.0423	0.3832	0.0913	0.0625	-0.3697
terrorist.america.good.bad	boot_59	master_doc14.txt	0.0283	0.0522	-0.058	-0.0434	-0.009300000000000003
terrorist.america.good.bad	boot_60	master_doc14.txt	0.1193	0.1386	0.0281	0.1065	0.0591
