contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
terrorist.america.good.bad	observed	master_doc16.txt	0.0761	0.2492	0.0969	0.1348	-0.13520000000000001
terrorist.america.good.bad	boot_1	master_doc16.txt	-0.0793	0.0824	-0.0599	0.031	-0.0708
terrorist.america.good.bad	boot_2	master_doc16.txt	0.0777	0.2346	0.0606	0.1885	-0.02899999999999997
terrorist.america.good.bad	boot_3	master_doc16.txt	0.248	0.444	0.0795	0.1295	-0.14600000000000002
terrorist.america.good.bad	boot_4	master_doc16.txt	0.0717	0.3067	0.0179	0.0433	-0.2096
terrorist.america.good.bad	boot_5	master_doc16.txt	0.248	0.1646	0.0901	0.0767	0.07
terrorist.america.good.bad	boot_6	master_doc16.txt	0.1712	0.2095	0.1651	0.2275	0.02410000000000001
terrorist.america.good.bad	boot_7	master_doc16.txt	0.1764	0.2466	0.0754	0.0266	-0.11900000000000001
terrorist.america.good.bad	boot_8	master_doc16.txt	0.0793	-0.0176	0.0499	0.0564	0.10339999999999999
terrorist.america.good.bad	boot_9	master_doc16.txt	-0.0304	0.0527	0.1041	0.0252	-0.16199999999999998
terrorist.america.good.bad	boot_10	master_doc16.txt	0.0069	0.0567	0.1045	0.0187	-0.1356
terrorist.america.good.bad	boot_11	master_doc16.txt	0.1223	0.2688	0.0639	0.0559	-0.15449999999999997
terrorist.america.good.bad	boot_12	master_doc16.txt	-0.0422	-0.0079	-0.0412	-0.0664	-0.0595
terrorist.america.good.bad	boot_13	master_doc16.txt	-0.0295	0.1029	0.0064	0.1166	-0.02220000000000001
terrorist.america.good.bad	boot_14	master_doc16.txt	0.0456	0.3409	0.0392	0.0291	-0.3054
terrorist.america.good.bad	boot_15	master_doc16.txt	0.0035	0.1478	-0.042	-0.0708	-0.17309999999999998
terrorist.america.good.bad	boot_16	master_doc16.txt	0.0254	0.2354	0.0858	0.0916	-0.2042
terrorist.america.good.bad	boot_17	master_doc16.txt	-0.0295	0.3826	-0.0789	0.0129	-0.32030000000000003
terrorist.america.good.bad	boot_18	master_doc16.txt	-0.0153	0.2672	0.0571	0.0212	-0.31839999999999996
terrorist.america.good.bad	boot_19	master_doc16.txt	-0.004	0.4086	0.0291	0.1291	-0.31260000000000004
terrorist.america.good.bad	boot_20	master_doc16.txt	0.0244	-0.0334	-0.0339	-0.0817	0.010000000000000009
terrorist.america.good.bad	boot_21	master_doc16.txt	0.2572	0.2489	0.1387	0.2066	0.07619999999999999
terrorist.america.good.bad	boot_22	master_doc16.txt	0.0801	0.3786	0.0101	0.0958	-0.2128
terrorist.america.good.bad	boot_23	master_doc16.txt	-0.052	0.0651	0.0807	0.0278	-0.17
terrorist.america.good.bad	boot_24	master_doc16.txt	0.1903	0.2083	0.0439	0.0127	-0.04920000000000002
terrorist.america.good.bad	boot_25	master_doc16.txt	0.2022	0.1318	0.1038	0.0412	0.0077999999999999875
terrorist.america.good.bad	boot_26	master_doc16.txt	0.0456	0.181	0.037	0.0406	-0.1318
terrorist.america.good.bad	boot_27	master_doc16.txt	0.1668	0.2593	0.118	0.1075	-0.10299999999999997
terrorist.america.good.bad	boot_28	master_doc16.txt	0.0745	0.3354	0.1094	0.1534	-0.21689999999999995
terrorist.america.good.bad	boot_29	master_doc16.txt	0.0429	0.1361	0.0699	-0.0057	-0.16880000000000003
terrorist.america.good.bad	boot_30	master_doc16.txt	0.05	0.2076	0.0791	0.0839	-0.15280000000000002
terrorist.america.good.bad	boot_31	master_doc16.txt	0.0981	0.3619	0.0472	0.097	-0.214
terrorist.america.good.bad	boot_32	master_doc16.txt	0.0703	0.3042	0.1544	0.0619	-0.3264
terrorist.america.good.bad	boot_33	master_doc16.txt	0.1048	0.1048	-0.0065	-0.0057	0.0007999999999999995
terrorist.america.good.bad	boot_34	master_doc16.txt	0.2568	0.35	0.1086	0.1743	-0.027499999999999997
terrorist.america.good.bad	boot_35	master_doc16.txt	0.241	0.3562	0.1983	0.3087	-0.0048000000000000265
terrorist.america.good.bad	boot_36	master_doc16.txt	0.0078	0.3264	-0.0427	0.0835	-0.19240000000000002
terrorist.america.good.bad	boot_37	master_doc16.txt	0.0715	0.1795	0.0612	0.1581	-0.011099999999999999
terrorist.america.good.bad	boot_38	master_doc16.txt	0.2072	0.331	0.1277	0.1138	-0.13770000000000004
terrorist.america.good.bad	boot_39	master_doc16.txt	0.0964	0.1403	0.0849	0.0692	-0.05960000000000003
terrorist.america.good.bad	boot_40	master_doc16.txt	0.1571	0.3499	0.0961	0.1512	-0.1377
terrorist.america.good.bad	boot_41	master_doc16.txt	0.067	0.1796	0.0674	-0.0379	-0.21789999999999998
terrorist.america.good.bad	boot_42	master_doc16.txt	-0.0591	0.1445	-0.0352	0.0423	-0.1261
terrorist.america.good.bad	boot_43	master_doc16.txt	0.0749	0.3213	0.2003	0.1754	-0.2713
terrorist.america.good.bad	boot_44	master_doc16.txt	0.151	0.1004	0.0388	-0.0425	-0.030700000000000012
terrorist.america.good.bad	boot_45	master_doc16.txt	0.1618	0.3917	0.0523	0.062	-0.2202
terrorist.america.good.bad	boot_46	master_doc16.txt	-0.0996	0.1881	-0.0021	0.0309	-0.2547
terrorist.america.good.bad	boot_47	master_doc16.txt	0.0474	0.1456	0.0342	-0.0199	-0.15230000000000002
terrorist.america.good.bad	boot_48	master_doc16.txt	0.0083	0.1405	0.0517	0.0068	-0.1771
terrorist.america.good.bad	boot_49	master_doc16.txt	-0.0691	0.1014	-0.0304	-0.0122	-0.15229999999999996
terrorist.america.good.bad	boot_50	master_doc16.txt	0.1528	0.2099	0.1069	0.0372	-0.12680000000000002
terrorist.america.good.bad	boot_51	master_doc16.txt	0.0141	0.2319	0.0245	0.0246	-0.21769999999999998
terrorist.america.good.bad	boot_52	master_doc16.txt	0.2102	0.2151	0.0948	0.0938	-0.005900000000000016
terrorist.america.good.bad	boot_53	master_doc16.txt	0.0196	0.1034	0.1042	0.0418	-0.1462
terrorist.america.good.bad	boot_54	master_doc16.txt	0.3618	0.3895	0.1904	0.1596	-0.058500000000000024
terrorist.america.good.bad	boot_55	master_doc16.txt	0.0159	0.203	-0.0227	0.0627	-0.10170000000000001
terrorist.america.good.bad	boot_56	master_doc16.txt	0.0152	0.2029	-0.0065	0.0137	-0.1675
terrorist.america.good.bad	boot_57	master_doc16.txt	0.1643	0.3819	0.128	0.1155	-0.23010000000000003
terrorist.america.good.bad	boot_58	master_doc16.txt	0.0735	0.2329	0.0588	0.1192	-0.09899999999999998
terrorist.america.good.bad	boot_59	master_doc16.txt	0.0518	0.307	0.0869	0.0227	-0.31939999999999996
terrorist.america.good.bad	boot_60	master_doc16.txt	0.0815	0.1072	-0.0003	0.0171	-0.008299999999999998
terrorist.america.good.bad	boot_61	master_doc16.txt	0.0299	0.0339	0.1062	0.063	-0.047200000000000006
terrorist.america.good.bad	boot_62	master_doc16.txt	-0.0621	0.0589	0.012	-0.0264	-0.15940000000000001
terrorist.america.good.bad	boot_63	master_doc16.txt	0.1092	0.0472	0.0959	0.0801	0.04620000000000001
terrorist.america.good.bad	boot_64	master_doc16.txt	-0.0591	0.1463	-0.0792	-0.0045	-0.13070000000000004
