contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
pro-russia.pro-ukraine.good.bad	observed	master_doc11.txt	0.0613	0.0814	0.3656	0.2953	-0.09039999999999998
pro-russia.pro-ukraine.good.bad	boot_1	master_doc11.txt	0.0766	0.0	0.0343	0.0	0.042300000000000004
pro-russia.pro-ukraine.good.bad	boot_2	master_doc11.txt	0.0	0.0043	0.0	0.2773	0.27299999999999996
pro-russia.pro-ukraine.good.bad	boot_3	master_doc11.txt	0.0278	0.0554	0.2191	0.2217	-0.024999999999999967
pro-russia.pro-ukraine.good.bad	boot_4	master_doc11.txt	0.0408	0.0	0.1634	0.0	-0.12259999999999999
pro-russia.pro-ukraine.good.bad	boot_5	master_doc11.txt	0.2862	0.0	0.311	0.0	-0.02479999999999999
pro-russia.pro-ukraine.good.bad	boot_6	master_doc11.txt	0.0705	0.0776	0.3672	0.2631	-0.11120000000000002
pro-russia.pro-ukraine.good.bad	boot_7	master_doc11.txt	0.0237	0.0	0.1616	0.0	-0.1379
pro-russia.pro-ukraine.good.bad	boot_8	master_doc11.txt	0.0358	0.0447	0.22	0.1699	-0.059
pro-russia.pro-ukraine.good.bad	boot_9	master_doc11.txt	0.1671	0.1836	0.2528	0.249	-0.02030000000000004
pro-russia.pro-ukraine.good.bad	boot_10	master_doc11.txt	0.1772	0.0	0.2882	0.0	-0.11100000000000002
pro-russia.pro-ukraine.good.bad	boot_11	master_doc11.txt	-0.0018	0.0	0.1591	0.0	-0.1609
pro-russia.pro-ukraine.good.bad	boot_12	master_doc11.txt	0.1524	0.1872	0.2886	0.3134	-0.010000000000000009
pro-russia.pro-ukraine.good.bad	boot_13	master_doc11.txt	0.0741	0.0	0.3074	0.0	-0.2333
pro-russia.pro-ukraine.good.bad	boot_14	master_doc11.txt	0.0642	0.0709	0.1873	0.1739	-0.020100000000000007
pro-russia.pro-ukraine.good.bad	boot_15	master_doc11.txt	-0.0368	0.0006	-0.0658	0.2302	0.2586
pro-russia.pro-ukraine.good.bad	boot_16	master_doc11.txt	0.0153	0.0399	0.1819	0.1603	-0.04620000000000002
pro-russia.pro-ukraine.good.bad	boot_17	master_doc11.txt	0.2348	0.0	0.2413	0.0	-0.006499999999999978
pro-russia.pro-ukraine.good.bad	boot_18	master_doc11.txt	0.0722	0.0	0.2893	0.0	-0.21710000000000002
pro-russia.pro-ukraine.good.bad	boot_19	master_doc11.txt	-0.0625	-0.0061	0.1458	0.2657	0.06349999999999997
pro-russia.pro-ukraine.good.bad	boot_20	master_doc11.txt	0.0	0.0043	0.0	0.2502	0.24589999999999998
pro-russia.pro-ukraine.good.bad	boot_21	master_doc11.txt	-0.1022	0.0	0.0398	0.0	-0.14200000000000002
pro-russia.pro-ukraine.good.bad	boot_22	master_doc11.txt	0.1478	0.1606	0.2417	0.2423	-0.012200000000000016
pro-russia.pro-ukraine.good.bad	boot_23	master_doc11.txt	-0.0767	0.0	0.3335	0.0	-0.4102
pro-russia.pro-ukraine.good.bad	boot_24	master_doc11.txt	-0.0279	-0.0091	0.3682	0.31	-0.07700000000000001
pro-russia.pro-ukraine.good.bad	boot_25	master_doc11.txt	-0.0878	0.0	0.2517	0.0	-0.33949999999999997
pro-russia.pro-ukraine.good.bad	boot_26	master_doc11.txt	0.2671	0.2328	0.1448	0.1173	0.006799999999999987
pro-russia.pro-ukraine.good.bad	boot_27	master_doc11.txt	0.0312	0.0	0.3856	0.0	-0.3544
pro-russia.pro-ukraine.good.bad	boot_28	master_doc11.txt	0.2341	0.235	0.2086	0.2183	0.008800000000000002
pro-russia.pro-ukraine.good.bad	boot_29	master_doc11.txt	-0.0271	-0.0018	0.1193	0.0795	-0.0651
pro-russia.pro-ukraine.good.bad	boot_30	master_doc11.txt	0.1374	0.1606	0.3036	0.3076	-0.019199999999999995
