contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
pro-russia.pro-ukraine.good.bad	observed	master_doc10.txt	0.0791	0.0067	0.0857	-0.0594	-0.07269999999999999
pro-russia.pro-ukraine.good.bad	boot_1	master_doc10.txt	0.047	-0.047	0.141	-0.0934	-0.14039999999999997
pro-russia.pro-ukraine.good.bad	boot_2	master_doc10.txt	-0.0226	-0.006	-0.0234	-0.0576	-0.0508
pro-russia.pro-ukraine.good.bad	boot_3	master_doc10.txt	0.0512	-0.0291	0.1441	-0.0596	-0.1234
pro-russia.pro-ukraine.good.bad	boot_4	master_doc10.txt	0.0346	-0.0211	0.0827	-0.0694	-0.0964
pro-russia.pro-ukraine.good.bad	boot_5	master_doc10.txt	0.0777	0.0292	0.0882	-0.017	-0.0567
pro-russia.pro-ukraine.good.bad	boot_6	master_doc10.txt	0.0812	-0.0336	0.3718	-0.081	-0.338
pro-russia.pro-ukraine.good.bad	boot_7	master_doc10.txt	0.0107	0.055	0.0672	0.0107	-0.10079999999999999
pro-russia.pro-ukraine.good.bad	boot_8	master_doc10.txt	0.0498	0.0074	0.0925	-0.0124	-0.0625
pro-russia.pro-ukraine.good.bad	boot_9	master_doc10.txt	0.0541	-0.0642	0.0151	-0.0609	0.04229999999999998
pro-russia.pro-ukraine.good.bad	boot_10	master_doc10.txt	0.0445	-0.0822	0.2868	-0.1088	-0.26890000000000003
pro-russia.pro-ukraine.good.bad	boot_11	master_doc10.txt	0.0171	0.0043	0.1181	-0.083	-0.1883
pro-russia.pro-ukraine.good.bad	boot_12	master_doc10.txt	0.0684	0.0227	0.1616	-0.0099	-0.1258
pro-russia.pro-ukraine.good.bad	boot_13	master_doc10.txt	0.0731	0.0238	0.2119	0.0109	-0.15170000000000003
pro-russia.pro-ukraine.good.bad	boot_14	master_doc10.txt	0.0219	-0.029	0.1358	-0.1017	-0.1866
