contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
pro-russia.pro-ukraine.good.bad	observed	master_doc12.txt	0.1794	0.2078	0.2126	0.2894	0.04839999999999997
pro-russia.pro-ukraine.good.bad	boot_1	master_doc12.txt	0.0842	0.0531	0.082	0.1728	0.12190000000000001
pro-russia.pro-ukraine.good.bad	boot_2	master_doc12.txt	0.2082	0.1156	0.3215	0.1616	-0.0673
pro-russia.pro-ukraine.good.bad	boot_3	master_doc12.txt	0.0439	0.2025	0.0431	0.3181	0.11639999999999998
pro-russia.pro-ukraine.good.bad	boot_4	master_doc12.txt	0.0875	0.0252	0.0413	0.1276	0.14859999999999998
pro-russia.pro-ukraine.good.bad	boot_5	master_doc12.txt	0.1175	0.1259	0.0753	0.1858	0.10209999999999997
pro-russia.pro-ukraine.good.bad	boot_6	master_doc12.txt	0.0725	0.1523	0.2862	0.3411	-0.024899999999999978
pro-russia.pro-ukraine.good.bad	boot_7	master_doc12.txt	0.0992	0.0951	0.0562	0.1303	0.07819999999999999
pro-russia.pro-ukraine.good.bad	boot_8	master_doc12.txt	0.1217	0.1961	0.2123	0.1438	-0.14289999999999994
pro-russia.pro-ukraine.good.bad	boot_9	master_doc12.txt	0.0369	0.1475	-0.0073	0.2318	0.1285
pro-russia.pro-ukraine.good.bad	boot_10	master_doc12.txt	0.1195	-0.0579	0.0572	0.0036	0.12380000000000001
pro-russia.pro-ukraine.good.bad	boot_11	master_doc12.txt	0.1013	0.1265	0.0253	0.1914	0.14089999999999997
pro-russia.pro-ukraine.good.bad	boot_12	master_doc12.txt	0.0979	0.1512	0.2672	0.225	-0.0955
pro-russia.pro-ukraine.good.bad	boot_13	master_doc12.txt	0.1149	0.1338	0.1059	0.2465	0.1217
pro-russia.pro-ukraine.good.bad	boot_14	master_doc12.txt	0.143	0.1511	0.2125	0.2357	0.015099999999999975
pro-russia.pro-ukraine.good.bad	boot_15	master_doc12.txt	0.131	0.1181	0.2926	0.2759	-0.0038000000000000256
pro-russia.pro-ukraine.good.bad	boot_16	master_doc12.txt	0.0912	0.1846	0.1335	0.4374	0.21050000000000002
pro-russia.pro-ukraine.good.bad	boot_17	master_doc12.txt	0.0701	0.1369	0.2009	0.2316	-0.03609999999999999
pro-russia.pro-ukraine.good.bad	boot_18	master_doc12.txt	0.0615	0.1453	0.0895	0.2096	0.0363
pro-russia.pro-ukraine.good.bad	boot_19	master_doc12.txt	0.1428	0.1601	0.2644	0.2525	-0.029200000000000004
pro-russia.pro-ukraine.good.bad	boot_20	master_doc12.txt	0.0757	0.1402	0.0698	0.2003	0.06600000000000003
pro-russia.pro-ukraine.good.bad	boot_21	master_doc12.txt	0.0892	0.0179	0.136	0.0764	0.011699999999999988
pro-russia.pro-ukraine.good.bad	boot_22	master_doc12.txt	0.1454	0.2536	0.2765	0.2069	-0.17780000000000004
pro-russia.pro-ukraine.good.bad	boot_23	master_doc12.txt	0.0632	0.1473	0.1448	0.2729	0.043999999999999984
pro-russia.pro-ukraine.good.bad	boot_24	master_doc12.txt	0.1292	0.1862	0.1569	0.159	-0.054900000000000004
pro-russia.pro-ukraine.good.bad	boot_25	master_doc12.txt	0.0782	0.0114	0.1309	0.0546	-0.009499999999999988
pro-russia.pro-ukraine.good.bad	boot_26	master_doc12.txt	0.1601	0.0565	0.1339	0.1126	0.08230000000000001
pro-russia.pro-ukraine.good.bad	boot_27	master_doc12.txt	0.138	0.1551	0.2007	0.2939	0.07610000000000003
pro-russia.pro-ukraine.good.bad	boot_28	master_doc12.txt	0.1572	0.1098	0.2057	0.183	0.0247
pro-russia.pro-ukraine.good.bad	boot_29	master_doc12.txt	0.0521	0.1965	-0.0317	0.4651	0.35240000000000005
pro-russia.pro-ukraine.good.bad	boot_30	master_doc12.txt	0.1687	0.1295	0.2278	0.2034	0.01479999999999998
pro-russia.pro-ukraine.good.bad	boot_31	master_doc12.txt	0.0863	-0.007	0.1581	0.0796	0.014800000000000021
